Semester,Course,Credits,UCs Fulfilled
1,MATH 192,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 194,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 210,4.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 220,3.0,UCB; UCLA; UCM; UCSB
1,MATH 230,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 240,3.0,UCD; UCSC
2,CIS 210,3.0,UCD
2,CS 231,3.0,UCM; UCSD
2,CS 221,3.0,UCR; UCSD
2,CS 240,3.0,UCSB; UCSD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CS 10A,,UCR
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 30,,UCSC
