Semester,Course,Credits,UCs Fulfilled
1,MATH 190,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 191,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 211,5.0,UCB; UCLA; UCM; UCSB
2,MATH 210,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 212,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,CS 252,3.0,UCD; UCSB; UCSC
2,CS 140,3.0,UCD
2,CS 242,3.0,UCD; UCSC
3,CS 225,3.0,UCLA; UCR; UCSB
3,CS 232,3.0,UCM; UCR
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
