Semester,Course,Credits,UCs Fulfilled
1,MATH 4A,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 4B,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 4C,4.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 9,3.0,UCB; UCM; UCSB
1,MATH 10,3.0,UCB; UCM; UCSB; UCSD
2,CSIS 35,3.0,UCM; UCR; UCSB; UCSD
2,CSIS 33,3.0,UCR; UCSD
2,CSIS 18,3.0,UCSB; UCSC; UCSD
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,MATH 33A,,UCLA
UNARTICULATED,MATH 33B,,UCLA
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 30,,UCSC
