Semester,Course,Credits,UCs Fulfilled
1,MAT 3A,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MAT 3B,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MAT 3C,4.0,UCB; UCD; UCLA; UCM; UCSD
1,CSS 7,4.0,UCD; UCSB; UCSC
2,CSS 2A,4.0,UCD; UCLA; UCR; UCSB
2,CSS 2B,4.0,UCM; UCSB; UCSC
2,CSS 3,4.0,UCSC
2,CSS 4,4.0,UCSC
3,MAT 7,4.0,UCSD
3,MAT 4,3.0,UCB; UCLA; UCM; UCSB; UCSD
3,MAT 5,3.0,UCB; UCLA; UCM; UCSB
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 8B,,UCSD
