Semester,Course,Credits,UCs Fulfilled
1,MATH 190,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 191,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 270,5.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 220,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 210,5.0,UCD; UCSB; UCSC; UCSD
2,CSCI 102,5.0,UCI; UCM; UCSB; UCSD
3,CSCI 101,4.0,UCI
3,CSCI 103,4.0,UCSD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CS 10A,,UCR
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 30,,UCSC
