Semester,Course,Credits,UCs Fulfilled
1,MATH 18C,5.0,UCB; UCD; UCM; UCSD
1,MATH 18A,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 18B,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,COMP 11P,4.0,UCD; UCLA; UCR; UCSD
2,COMP 12J,4.0,UCD; UCM
2,COMP 12P,4.0,UCLA; UCR; UCSC
2,MATH 26,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 28,3.0,UCB; UCM; UCSB
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,MATH 32A,,UCLA
UNARTICULATED,MATH 32B,,UCLA
UNARTICULATED,MATH 33B,,UCLA
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CMPSC 40,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
