Semester,Course,Credits,UCs Fulfilled
1,MATH 2100,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 2120,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 2125,4.0,UCB; UCM; UCSB
1,MATH 2140,4.0,UCB; UCLA; UCM; UCSB
2,MATH 2130,4.0,UCB; UCD; UCLA; UCM; UCSD
2,ENGR 1540,4.0,UCD; UCR; UCSB
2,COSC 1545,4.0,UCSB
2,COSC 2100,3.0,UCSB
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,MATH 33A,,UCLA
UNARTICULATED,CSE 030,,UCM
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
UNARTICULATED,MATH 18,,UCSD
