Semester,Course,Credits,UCs Fulfilled
1,MATH 210,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 220,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 230,4.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 160,4.0,UCD; UCSB; UCSC; UCSD
2,MATH 250,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 240,3.0,UCB; UCLA; UCM; UCSB
2,COMSC 132,3.0,UCD; UCM; UCR; UCSB; UCSC
2,COMSC 044,3.0,UCD; UCSB
2,COMSC 142,3.0,UCD
2,COMSC 122,3.0,UCR
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 8B,,UCSD
