Semester,Course,Credits,UCs Fulfilled
1,MATH 1A,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 1B,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 2B,4.0,UCB; UCLA; UCM; UCSB; UCSD
1,MATH 2C,4.0,UCB; UCLA; UCM; UCSB
2,MATH 2A,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CS 9,4.0,UCD; UCM; UCSB; UCSC
2,MATH 15,4.0,UCD; UCSB; UCSC; UCSD
2,CS 7A,4.0,UCR; UCSB
3,CS 8,3.0,UCD; UCSC
3,CS 7B,3.0,UCR
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 8B,,UCSD
