Semester,Course,Credits,UCs Fulfilled
1,MATH -04A,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH -04B,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH -04C,4.0,UCB; UCD; UCLA; UCM; UCSD
1,CPSC -39,4.0,UCD; UCM; UCR; UCSC
2,CPSC -25,4.0,UCI
2,MATH -09,4.0,UCM
2,MATH -06,3.0,UCB; UCLA; UCSB
2,MATH -08,3.0,UCB; UCLA; UCSB; UCSD
2,CPSC -07,3.0,UCD; UCSB; UCSC
3,CPSC -06,3.0,UCD
3,CPSC -42,3.0,UCD; UCSC
3,ENGR -14,3.0,UCI
3,CPSC -14,3.0,UCR; UCSB
3,MATH -07,3.0,UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 8B,,UCSD
