Semester,Course,Credits,UCs Fulfilled
1,MATH 20A,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 20B,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 31,4.0,UCB; UCLA; UCM; UCSB; UCSD
1,MATH 32,4.0,UCB; UCLA; UCM; UCSB
2,MATH 20C,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CSIS 10B,4.0,UCD; UCI; UCM; UCR; UCSC
2,CSIS 10C,4.0,UCD; UCI; UCLA; UCSB
2,CSIS 10A,4.0,UCI; UCR
3,MATH 40,3.0,UCD; UCSD
3,CSIS 11,3.0,UCD; UCSC
3,CSIS 12,3.0,UCSB; UCSC
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 8B,,UCSD
