Semester,Course,Credits,UCs Fulfilled
1,MATH 250,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 251,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 252,4.0,UCB; UCD; UCLA; UCM; UCSD
1,CIS 115,4.0,UCD; UCLA; UCR; UCSB
2,MATH 230,4.0,UCD; UCSC
2,MATH 140,4.0,UCM; UCSC; UCSD
2,CIS 153,4.0,UCSD
2,MATH 253,3.0,UCB; UCLA; UCM; UCSB
2,MATH 254,3.0,UCB; UCLA; UCM; UCSB; UCSD
3,MATH 260,3.0,UCD; UCSB; UCSC; UCSD
3,CIS 106,3.0,UCI
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CMPSC 24,,UCSB
