Semester,Course,Credits,UCs Fulfilled
1,MATH 30,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 31,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 40,4.0,UCB; UCLA; UCM; UCSB
1,MATH 32,4.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 42,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,CSCI 22,3.0,UCD; UCSB
2,CSCI 21,3.0,UCD; UCM; UCR; UCSB; UCSC
2,CSCI 10,3.0,UCD; UCSC
2,CSCI 20,3.0,UCR; UCSB
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
