Semester,Course,Credits,UCs Fulfilled
1,MATH C180,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH C185,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH C285,5.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH C280,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH C230,5.0,UCSB
2,ICS C123,3.0,UCD; UCM; UCSC; UCSD
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CS 10A,,UCR
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
