Semester,Course,Credits,UCs Fulfilled
1,MATH 1A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 1B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
UNARTICULATED,MATH 53,,UCB
UNARTICULATED,MATH 54,,UCB
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,MAT 021C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,MATH 32A,,UCLA
UNARTICULATED,MATH 32B,,UCLA
UNARTICULATED,MATH 33A,,UCLA
UNARTICULATED,MATH 33B,,UCLA
UNARTICULATED,CSE 030,,UCM
UNARTICULATED,MATH 023,,UCM
UNARTICULATED,MATH 024,,UCM
UNARTICULATED,CS 10A,,UCR
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CMPSC 40,,UCSB
UNARTICULATED,MATH 4A,,UCSB
UNARTICULATED,MATH 4B,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
UNARTICULATED,MATH 18,,UCSD
UNARTICULATED,MATH 20C,,UCSD
