Semester,Course,Credits,UCs Fulfilled
1,MATH 252,5.0,UCB; UCLA; UCM; UCSD
1,MATH 250,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 251,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 265,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 266,4.0,UCB; UCLA; UCM; UCSB
2,CS 215,4.0,UCD
2,CS 170,4.0,UCD; UCSC
2,CS 190,4.0,UCLA; UCR
3,CS 265,3.0,UCD; UCM; UCSB; UCSC; UCSD
3,CS 130,3.0,UCD; UCSB; UCSC
3,CS 102,3.0,UCI
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
