Semester,Course,Credits,UCs Fulfilled
1,MATH 1A,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 1B,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 1C,4.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 2,3.0,UCB; UCLA; UCM; UCSB; UCSD
1,MATH 2C,3.0,UCB; UCLA; UCM; UCSB
2,CSIS 27,3.0,UCD
2,CSIS 26,3.0,UCD; UCSB; UCSC; UCSD
2,CSIS 45,3.0,UCD; UCSB
2,CSIS 12,3.0,UCD; UCSC
2,CSIS 46,3.0,UCM; UCR; UCSB; UCSC
2,CSIS 24,3.0,UCR
3,CSIS 12L,1.0,UCD; UCSC
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 8B,,UCSD
