Semester,Course,Credits,UCs Fulfilled
1,MTH 210,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MTH 211,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MTH 212,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MTH 214,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MTH 215,3.0,UCB; UCLA; UCM; UCSB
2,CSC 221,3.0,UCD; UCR
2,CSC 210,3.0,UCD
2,CSC 222,3.0,UCM; UCR; UCSD
3,CSC 240,3.0,UCSB
3,CSC 222L,1.0,UCM
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
