Semester,Course,Credits,UCs Fulfilled
1,MATH 250BC,5.0,UCB; UCLA; UCM; UCSB; UCSD
1,MATH 150AC,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 150BC,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 250AC,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CSCI 133 C,3.0,UCD; UCI; UCM; UCR; UCSB; UCSD
2,CIS 223 C,3.0,UCD; UCR; UCSB
2,CSCI 123 C,3.0,UCI; UCLA; UCR
2,CSCI 252 C,3.0,UCSB; UCSC; UCSD
2,CIS 275 C,3.0,UCSC
2,CIS 226 C,3.0,UCSD
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,CSE 12,,UCSC
