Semester,Course,Credits,UCs Fulfilled
1,MATH 1400,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 1500,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 2400,4.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 2500,3.0,UCB; UCLA; UCM; UCSB
1,MATH 2600,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,CSCI 1007,3.0,UCD; UCR
2,CSCI 1507,3.0,UCD; UCM; UCR; UCSC
2,CSCI 2006,3.0,UCD; UCSC
2,CSCI 2010,3.0,UCSB
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
