Semester,Course,Credits,UCs Fulfilled
1,MATH 251,5.0,UCLA; UCM; UCSB
1,MATH 190,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 191,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 260,4.0,UCB; UCSD
2,MATH 270,4.0,UCB; UCLA
2,MATH 250,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CIT 125,4.0,UCD; UCR; UCSB
2,CIT 126,4.0,UCD; UCLA; UCR
3,CIT 136,4.0,UCSD
3,CIT 127,3.0,UCM
3,CIT 128,3.0,UCM; UCSC
3,CS 152,3.0,UCSB; UCSD
3,CS 142,3.0,UCSC
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 12,,UCSD
